TreatmentGroupID,MedicationName,MedicalCondition
1,drug_name,medical_condition
2,doxycycline,acne
2,spironolactone,acne
2,minocycline,acne
2,accutane,acne
2,clindamycin,acne
2,aldactone,acne
2,tretinoin,acne
2,isotretinoin,acne
2,bactrim,acne
2,retin-a,acne
2,aczone,acne
2,benzoyl peroxide,acne
2,differin,acne
2,epiduo,acne
2,adapalene,acne
2,cephalexin,acne
2,doryx,acne
2,tetracycline,acne
2,septra,acne
2,solodyn,acne
2,tazorac,acne
2,vibramycin,acne
2,acticlate,acne
2,benzoyl peroxide / clindamycin,acne
2,doxy 100,acne
2,keflex,acne
2,sulfamethoxazole / trimethoprim,acne
2,benzaclin,acne
2,monodox,acne
2,targadox,acne
2,adoxa,acne
2,adoxa ck,acne
2,adoxa pak,acne
2,adoxa tt,acne
2,avidoxy,acne
2,bactrim ds,acne
2,cleocin t,acne
2,clindagel,acne
2,doryx mpc,acne
2,erythromycin,acne
2,morgidox,acne
2,oraxyl,acne
2,claravis,acne
2,clinda-derm,acne
2,evoclin,acne
2,minocin,acne
2,yaz,acne
2,adapalene / benzoyl peroxide,acne
2,clindacin etz,acne
2,clindacin p,acne
2,clindacin pac,acne
2,clindareach pledget,acne
2,clindets,acne
2,milk of magnesia,acne
2,septra ds,acne
2,yasmin,acne
2,ziana,acne
2,absorica,acne
2,acanya,acne
2,amnesteem,acne
2,azelaic acid,acne
2,co-trimoxazole,acne
2,dapsone,acne
2,duac,acne
2,emcin clear,acne
2,epiduo forte,acne
2,erygel,acne
2,ery pads,acne
2,myorisan,acne
2,onexton,acne
2,phillips' milk of magnesia,acne
2,salicylic acid,acne
2,spotex,acne
2,theramycin z,acne
2,absorica ld,acne
2,achromycin v,acne
2,acne treatment,acne
2,acnex,acne
2,ala-tet,acne
2,amzeeq,acne
2,atralin,acne
2,avita,acne
2,azelex,acne
2,benzamycin,acne
2,benzoyl peroxide / erythromycin,acne
2,benzoyl peroxide / sulfur,acne
2,beyaz,acne
2,brodspec,acne
2,cleeravue-m,acne
2,clindamycin / tretinoin,acne
2,drospirenone / ethinyl estradiol,acne
2,dynacin,acne
2,estarylla,acne
2,ethinyl estradiol / norgestimate,acne
2,gianvi,acne
2,loryna,acne
2,magnesium hydroxide,acne
2,minocycline,acne
2,minolira,acne
2,ocella,acne
2,panoxyl,acne
2,panoxyl 10% acne foaming wash,acne
2,seysara,acne
2,sotret,acne
2,sulfacetamide sodium/sulfur,acne
2,tazarotene,acne
2,tri-previfem,acne
2,tri-sprintec,acne
2,veltin,acne
2,ximino,acne
2,zenatane,acne
2,acetoxyl,acne
2,acne-10,acne
2,acne-clear,acne
2,acnevir,acne
2,acnomel,acne
2,acnomel acne mask,acne
2,acnomel bp 5,acne
2,aklief,acne
2,aktipak,acne
2,akurza,acne
2,aliclen,acne
2,alquam-x acne therapy gel,acne
2,altabax,acne
2,altreno,acne
2,arazlo,acne
2,avar,acne
2,avar-e,acne
2,avar-e green,acne
2,avar-e ls,acne
2,avar cleanser,acne
2,avar ls,acne
2,avar ls cleanser,acne
2,benzac,acne
2,benzac ac,acne
2,benzac ac wash,acne
2,benzac w,acne
2,benzagel,acne
2,benzagel wash,acne
2,benzamycin pak,acne
2,benzashave,acne
2,benzefoam ultra,acne
2,benzepro,acne
2,benziq,acne
2,benzoyl peroxide / hydrocortisone,acne
2,benzoyl peroxide / salicylic acid,acne
