SymptomIdex,SymptomName,SymptomGroupId
0,itching,0
1,skin rash,0
2,nodal skin eruptions,0
3,dischromic patches,0
4,skin rash,1
5,nodal skin eruptions,1
6,dischromic patches,1
7,itching,2
8,nodal skin eruptions,2
9,dischromic patches,2
10,itching,3
11,skin rash,3
12,dischromic patches,3
13,itching,4
14,skin rash,4
15,nodal skin eruptions,4
16,skin rash,5
17,nodal skin eruptions,5
18,dischromic patches,5
19,itching,6
20,nodal skin eruptions,6
21,dischromic patches,6
22,itching,7
23,skin rash,7
24,dischromic patches,7
25,itching,8
26,skin rash,8
27,nodal skin eruptions,8
28,itching,9
29,skin rash,9
30,nodal skin eruptions,9
31,dischromic patches,9
32,continuous sneezing,10
33,shivering,10
34,chills,10
35,watering from eyes,10
36,shivering,11
37,chills,11
38,watering from eyes,11
39,continuous sneezing,12
40,chills,12
41,watering from eyes,12
42,continuous sneezing,13
43,shivering,13
44,watering from eyes,13
45,continuous sneezing,14
46,shivering,14
47,chills,14
48,shivering,15
49,chills,15
50,watering from eyes,15
51,continuous sneezing,16
52,chills,16
53,watering from eyes,16
54,continuous sneezing,17
55,shivering,17
56,watering from eyes,17
57,continuous sneezing,18
58,shivering,18
59,chills,18
60,continuous sneezing,19
61,shivering,19
62,chills,19
63,watering from eyes,19
64,stomach pain,20
65,acidity,20
66,ulcers on tongue,20
67,vomiting,20
68,cough,20
69,chest pain,20
70,stomach pain,21
71,ulcers on tongue,21
72,vomiting,21
73,cough,21
74,chest pain,21
75,stomach pain,22
76,acidity,22
77,vomiting,22
78,cough,22
79,chest pain,22
80,stomach pain,23
81,acidity,23
82,ulcers on tongue,23
83,cough,23
84,chest pain,23
85,stomach pain,24
86,acidity,24
87,ulcers on tongue,24
88,vomiting,24
89,chest pain,24
90,stomach pain,25
91,acidity,25
92,ulcers on tongue,25
93,vomiting,25
94,cough,25
95,acidity,26
96,ulcers on tongue,26
97,vomiting,26
98,cough,26
99,chest pain,26
100,stomach pain,27
101,ulcers on tongue,27
102,vomiting,27
103,cough,27
104,chest pain,27
105,stomach pain,28
106,acidity,28
107,vomiting,28
108,cough,28
109,chest pain,28
110,stomach pain,29
111,acidity,29
112,ulcers on tongue,29
113,cough,29
114,chest pain,29
115,itching,30
116,vomiting,30
117,yellowish skin,30
118,nausea,30
119,loss of appetite,30
120,abdominal pain,30
121,yellowing of eyes,30
122,vomiting,31
123,yellowish skin,31
124,nausea,31
125,loss of appetite,31
126,abdominal pain,31
127,yellowing of eyes,31
128,itching,32
129,yellowish skin,32
130,nausea,32
131,loss of appetite,32
132,abdominal pain,32
133,yellowing of eyes,32
134,itching,33
135,vomiting,33
136,nausea,33
137,loss of appetite,33
138,abdominal pain,33
139,yellowing of eyes,33
140,itching,34
141,vomiting,34
142,yellowish skin,34
143,loss of appetite,34
144,abdominal pain,34
145,yellowing of eyes,34
146,itching,35
147,vomiting,35
148,yellowish skin,35
149,nausea,35
150,abdominal pain,35
151,yellowing of eyes,35
152,itching,36
153,vomiting,36
154,yellowish skin,36
155,nausea,36
156,loss of appetite,36
157,yellowing of eyes,36
158,itching,37
159,vomiting,37
160,yellowish skin,37
161,nausea,37
162,loss of appetite,37
163,abdominal pain,37
164,itching,38
165,vomiting,38
166,yellowish skin,38
167,nausea,38
168,loss of appetite,38
169,abdominal pain,38
170,yellowing of eyes,38
171,itching,39
172,vomiting,39
173,yellowish skin,39
174,nausea,39
175,loss of appetite,39
176,abdominal pain,39
177,yellowing of eyes,39
178,itching,40
179,skin rash,40
180,stomach pain,40
181,burning micturition,40
182,spotting urination,40
183,itching,41
184,stomach pain,41
185,burning micturition,41
186,spotting urination,41
187,itching,42
188,skin rash,42
189,burning micturition,42
190,spotting urination,42
191,itching,43
192,skin rash,43
193,stomach pain,43
194,spotting urination,43
195,itching,44
196,skin rash,44
197,stomach pain,44
198,burning micturition,44
199,skin rash,45
200,stomach pain,45
201,burning micturition,45
202,spotting urination,45
203,itching,46
204,stomach pain,46
205,burning micturition,46
206,spotting urination,46
207,itching,47
208,skin rash,47
209,burning micturition,47
210,spotting urination,47
211,itching,48
212,skin rash,48
213,stomach pain,48
214,spotting urination,48
215,itching,49
216,skin rash,49
217,stomach pain,49
218,burning micturition,49
219,vomiting,50
220,loss of appetite,50
221,abdominal pain,50
222,passage of gases,50
223,internal itching,50
224,vomiting,51
225,indigestion,51
226,abdominal pain,51
227,passage of gases,51
228,internal itching,51
229,indigestion,52
230,loss of appetite,52
231,abdominal pain,52
232,passage of gases,52
233,internal itching,52
234,vomiting,53
235,loss of appetite,53
236,abdominal pain,53
237,passage of gases,53
238,internal itching,53
239,vomiting,54
240,indigestion,54
241,abdominal pain,54
242,passage of gases,54
243,internal itching,54
244,vomiting,55
245,indigestion,55
246,loss of appetite,55
247,passage of gases,55
248,internal itching,55
249,vomiting,56
250,indigestion,56
251,loss of appetite,56
252,abdominal pain,56
253,internal itching,56
254,vomiting,57
255,indigestion,57
256,loss of appetite,57
257,abdominal pain,57
258,passage of gases,57
259,vomiting,58
260,indigestion,58
261,loss of appetite,58
262,abdominal pain,58
263,passage of gases,58
264,internal itching,58
265,vomiting,59
266,indigestion,59
267,loss of appetite,59
268,abdominal pain,59
269,passage of gases,59
270,internal itching,59
271,muscle wasting,60
272,patches in throat,60
273,high fever,60
274,extra marital contacts,60
275,patches in throat,61
276,high fever,61
277,extra marital contacts,61
278,muscle wasting,62
279,high fever,62
280,extra marital contacts,62
281,muscle wasting,63
282,patches in throat,63
283,extra marital contacts,63
284,muscle wasting,64
285,patches in throat,64
286,high fever,64
287,muscle wasting,65
288,patches in throat,65
289,high fever,65
290,extra marital contacts,65
291,muscle wasting,66
292,patches in throat,66
293,high fever,66
294,extra marital contacts,66
295,patches in throat,67
296,high fever,67
297,extra marital contacts,67
298,muscle wasting,68
299,high fever,68
300,extra marital contacts,68
301,muscle wasting,69
302,patches in throat,69
303,high fever,69
304,fatigue,70
305,weight loss,70
306,restlessness,70
307,lethargy,70
308,irregular sugar level,70
309,blurred and distorted vision,70
310,obesity,70
311,excessive hunger,70
312,increased appetite,70
313,polyuria,70
314,fatigue,71
315,weight loss,71
316,restlessness,71
317,lethargy,71
318,irregular sugar level,71
319,blurred and distorted vision,71
320,obesity,71
321,excessive hunger,71
322,increased appetite,71
323,polyuria,71
324,weight loss,72
325,restlessness,72
326,lethargy,72
327,irregular sugar level,72
328,blurred and distorted vision,72
329,obesity,72
330,excessive hunger,72
331,increased appetite,72
332,polyuria,72
333,fatigue,73
334,restlessness,73
335,lethargy,73
336,irregular sugar level,73
337,blurred and distorted vision,73
338,obesity,73
339,excessive hunger,73
340,increased appetite,73
341,polyuria,73
342,fatigue,74
343,weight loss,74
344,lethargy,74
345,irregular sugar level,74
346,blurred and distorted vision,74
347,obesity,74
348,excessive hunger,74
349,increased appetite,74
350,polyuria,74
351,fatigue,75
352,weight loss,75
353,restlessness,75
354,irregular sugar level,75
355,blurred and distorted vision,75
356,obesity,75
357,excessive hunger,75
358,increased appetite,75
359,polyuria,75
360,fatigue,76
361,weight loss,76
362,restlessness,76
363,lethargy,76
364,blurred and distorted vision,76
365,obesity,76
366,excessive hunger,76
367,increased appetite,76
368,polyuria,76
369,fatigue,77
370,weight loss,77
371,restlessness,77
372,lethargy,77
373,irregular sugar level,77
374,obesity,77
375,excessive hunger,77
376,increased appetite,77
377,polyuria,77
378,fatigue,78
379,weight loss,78
380,restlessness,78
381,lethargy,78
382,irregular sugar level,78
383,blurred and distorted vision,78
384,excessive hunger,78
385,increased appetite,78
386,polyuria,78
387,fatigue,79
388,weight loss,79
389,restlessness,79
390,lethargy,79
391,irregular sugar level,79
392,blurred and distorted vision,79
393,obesity,79
394,increased appetite,79
